,open,high,low,close,adjclose,volume
2020-08-14,191.76900310516356,192.2280055999756,191.42299270629886,191.92800197601318,184.80855617523196,1439360.0
2020-08-17,192.49900245666504,192.78900289535522,192.2909980773926,192.5720012664795,185.4336162567139,3025400.0
2020-08-18,192.79100170135496,193.12299861907962,191.96100597381593,192.87600240707397,185.72482442855835,1754930.0
2020-08-19,192.99000005722047,193.28099966049194,191.90399341583253,192.16099977493286,185.03352785110474,1974950.0
2020-08-20,191.47300357818605,192.91599855422973,191.38299665451052,192.67800331115725,185.5320682525635,1420450.0
2020-08-21,192.5120031356812,193.24599380493163,192.28100337982178,193.08999996185304,185.9241674423218,1505780.0
2020-08-24,194.19099531173708,194.58500413894652,193.6820077896118,194.46400327682497,187.24108457565308,1352260.0
2020-08-25,194.61599407196047,194.92700195312503,193.98599510192872,194.8099943161011,187.56938762664797,2672690.0
2020-08-26,195.04599676132202,196.41099729537967,194.7629927635193,196.27699823379518,188.97834711074833,2183680.0
2020-08-27,196.63999900817873,197.3205004692078,195.69900302886964,196.46800584793093,189.15791673660277,2406560.0
2020-08-28,197.02900543212894,197.62149896621705,196.51900138854984,197.50099897384644,190.15174970626833,1589000.0
2020-08-31,197.46399812698363,197.92199268341065,196.92300119400025,197.0579941749573,189.72880716323854,3110110.0
2020-09-01,197.44599714279175,198.528999042511,196.97400188446048,198.41300144195557,191.07053318023682,2553650.0
2020-09-02,199.160000038147,200.85100097656252,198.6140000343323,200.4054979324341,192.97703113555906,2537440.0
2020-09-03,199.63400068283084,199.90800485610964,194.1869948387146,195.32500000000002,188.10133666992186,4813790.0
2020-09-04,195.5840030670166,196.29900579452513,190.8350064277649,194.07200641632082,186.89866046905522,3406910.0
2020-09-08,191.6559973716736,192.2999978065491,190.08900661468508,190.29600362777714,183.27572774887088,3013400.0
2020-09-09,192.09600400924685,194.0930088043213,191.6560049057007,192.97779874801637,185.84922208786008,2752290.0
2020-09-10,193.80300273895264,194.17100172042848,190.12399759292603,190.58499956130984,183.55450029373168,2791150.0
2020-09-11,191.38100051879886,191.88299655914307,189.42400484085084,190.68199911117554,183.64752035140992,1929730.0
2020-09-14,192.14699335098268,193.29800424575805,191.87900524139405,192.5130009651184,185.40565233230592,1782130.0
2020-09-15,193.6149941444397,193.9860055923462,192.71200046539306,193.20100355148318,186.06529798507694,1654040.0
2020-09-16,193.81100234985354,194.44999799728393,192.52700500488282,192.66099786758423,185.54808282852176,1673580.0
2020-09-17,190.57500200271608,192.22200489044187,190.25799760818484,191.47500247955324,184.41028690338135,1738450.0
2020-09-18,191.84700393676755,191.88799686431886,188.76900358200072,189.8579963684082,182.85916824340822,1759970.0
2020-09-21,187.89300460815429,188.44099864959716,186.14400100708008,188.30700044631956,181.36862764358517,3582580.0
2020-09-22,188.95500679016112,189.9425000190735,187.83600234985352,189.6550006866455,182.66117134094236,1793920.0
2020-09-23,189.27900104522703,189.41900386810306,185.60499773025515,185.8550024986267,179.5777808189392,2880880.0
2020-09-24,185.27900314331055,187.61799516677854,184.69800786972047,186.267000579834,179.97700424194338,2840660.0
2020-09-25,185.92899322509768,188.77699880599977,185.50100135803223,188.40399894714358,182.03521842956545,2520020.0
2020-09-28,190.2249933242798,190.9510012626648,189.74600048065184,190.60299339294437,184.15324363708498,2158110.0
2020-09-29,190.5709948539734,190.87499532699584,189.55499839782715,189.88900213241578,183.46593084335328,1688470.0
2020-09-30,190.19600124359133,192.27700328826904,189.93900146484378,190.8369975090027,184.37778730392458,2734510.0
2020-10-01,191.91699380874633,192.4114987373352,190.7709972381592,191.68799772262574,185.2342562675476,3051140.0
2020-10-02,189.53900527954102,191.26500101089476,189.27900295257567,190.38899564743042,183.9829836845398,2484720.0
2020-10-05,191.23699464797974,192.83499612808228,191.1340045928955,192.65199518203735,186.16295709609986,2105130.0
2020-10-06,192.76900281906128,193.72000093460085,190.43499660491943,190.68949899673464,184.27095651626587,2305740.0
2020-10-07,191.94999923706058,193.3799961090088,191.89399852752686,192.98499555587773,186.48144941329957,1980720.0
2020-10-08,193.91200437545777,194.39599781036378,193.47900104522702,194.3490071296692,187.7989277839661,2700830.0
2020-10-09,195.1200044631958,195.8680033683777,194.756000995636,195.56700534820556,188.97264499664306,2302900.0
2020-10-12,196.71899871826173,198.60100269317627,196.47999935150145,197.94350366592408,191.26456689834595,2100860.0
